construct,occupancy_parameter_M,kon_assumption,kon_M_s,theta_25nM,theta_1.1mM,t_off_s,tau_eq_cleft_s,label
1d04_Kd_12uM,1.200e-05,diffusion_ceiling_1e8,1.000e+08,0.0021,0.9892,8.3333e-04,8.9928e-06,SIMULATION/BOUND
1d04_Kd_12uM,1.200e-05,C010_ITC_high_2e5_NOT_Glu,2.000e+05,0.0021,0.9892,4.1667e-01,4.4964e-03,SIMULATION/BOUND
1d04_Kd_12uM,1.200e-05,C008_tobramycin_IPA_3.5e4_NOT_Glu,3.500e+04,0.0021,0.9892,2.3810e+00,2.5694e-02,SIMULATION/BOUND
1d04_Kd_12uM,1.200e-05,C010_ITC_low_96_NOT_Glu,9.600e+01,0.0021,0.9892,8.6806e+02,9.3675e+00,SIMULATION/BOUND
Hu_apparent_1.8nM,1.800e-09,diffusion_ceiling_1e8,1.000e+08,0.9328,1.0000,5.5556e+00,9.0909e-06,SIMULATION/BOUND
Hu_apparent_1.8nM,1.800e-09,C010_ITC_high_2e5_NOT_Glu,2.000e+05,0.9328,1.0000,2.7778e+03,4.5454e-03,SIMULATION/BOUND
Hu_apparent_1.8nM,1.800e-09,C008_tobramycin_IPA_3.5e4_NOT_Glu,3.500e+04,0.9328,1.0000,1.5873e+04,2.5974e-02,SIMULATION/BOUND
Hu_apparent_1.8nM,1.800e-09,C010_ITC_low_96_NOT_Glu,9.600e+01,0.9328,1.0000,5.7870e+06,9.4697e+00,SIMULATION/BOUND
Xiao_SPR_293nM,2.930e-07,diffusion_ceiling_1e8,1.000e+08,0.0786,0.9997,3.4130e-02,9.0885e-06,SIMULATION/BOUND
Xiao_SPR_293nM,2.930e-07,C010_ITC_high_2e5_NOT_Glu,2.000e+05,0.0786,0.9997,1.7065e+01,4.5442e-03,SIMULATION/BOUND
Xiao_SPR_293nM,2.930e-07,C008_tobramycin_IPA_3.5e4_NOT_Glu,3.500e+04,0.0786,0.9997,9.7513e+01,2.5967e-02,SIMULATION/BOUND
Xiao_SPR_293nM,2.930e-07,C010_ITC_low_96_NOT_Glu,9.600e+01,0.0786,0.9997,3.5552e+04,9.4672e+00,SIMULATION/BOUND
