source_id,doi,pmid,pmcid,title,year,journal,authors,source_type,full_text_inspected,access_route,scout_lane,status,rejection_reason,nominating_agent,notes
S001,10.1007/s00216-021-03783-w,34783880,,Highly selective and sensitive detection of glutamate by an electrochemical aptasensor,2022,Analytical and Bioanalytical Chemistry,Wu C; Barkova D; Komarova N; Offenhausser A; Andrianova M; Hu Z; Kuznetsov A; Mayer D,primary,partial,abstract-only,A|B|C,core,,scout-A;scout-B;scout-C,Europe PMC verifies PMID/DOI. Print year 2022; epub 2021-11-16. 1d04 Kd and glu1 LOD are different constructs. No PMCID. VoR closed.
S002,10.1016/j.bios.2025.117992,40992279,,Potential-pulse-assisted co-immobilization of multiple aptamers on microelectrode arrays for multiplexed neurotransmitter detection,2025,Biosensors and Bioelectronics,Hu Z; Zhu R; Figueroa-Miranda G; Feng L; Offenhausser A; Mayer D,primary,yes,oa-pdf-rwth,A|B,core,,scout-A;scout-B,PMID 40992279 confirmed. Orchestrator re-read CC-BY VoR 2026-09-10. Glu electrochemical apparent Kd 1.8 nM; PBS LOD 32 pM; 50% serum LOD 51.5 pM; Glu incubation 15 min. Cited Wu 12 µM is not a Hu remeasurement.
S003,10.1002/cbic.202400225,38785220,,Kinetic ITC of DNA Aptamers Binding for Small Molecules and Implications for Binding Assays and Biosensors,2024,ChemBioChem,Ding Y; Liu J,primary,no,abstract-only,C,core,,orchestrator-lead-check,Starting lead. Europe PMC verifies PMID/DOI. Abstract reports kon 2e5 to 96 M-1 s-1 and koff 1.03e-3 to 0.012 s-1 over Kd 28 nM to 864 uM. Not glutamate-specific. VoR closed.
S004,10.1021/acs.analchem.5c01604,41231675,PMC13101946,Interrogation of Small Molecules to Surface-Bound Aptamer Binding Kinetics with Electrochemical Aptamer-Based Sensors Using Intermittent Pulse Amperometry,2025,Analytical Chemistry,Abeykoon SW; Dikella WN; Santos-Cancel M; Lazenby RA; White RJ,primary,yes,pmc,C,core,,scout-C,Tobramycin surface kon/koff by IPA. Not glutamate. Europe PMC verifies.
S005,10.1021/acssensors.4c03465,41042013,PMC13005712,"On the Design, Fabrication, and Operation of Electrochemical Aptamer-Based Sensors",2025,ACS Sensors,Wu Y; Plaxco KW,review,partial,pmc,B|C,relevant,,orchestrator-lead-check,Starting lead. Europe PMC verifies PMID/DOI/PMCID. Review of E-AB design/fabrication/operation.
S006,10.1186/s12951-026-04194-8,41851736,PMC13112887,Nanoplasmonic optical fiber sensing of SARS-CoV-2 nucleocapsid protein using an aptamer-DNA tetrahedron interface,2026,Journal of Nanobiotechnology,Xu P; Cui J; Cheng Z; Shiu SCC; Cui J; Li Y; Liu Y; Wang L; Siu RHP; Tanner JA; Yu C,primary,yes,pmc,D,core,,scout-D,"N-protein optical fiber, not glutamate. Interface/immobilization evidence only. Europe PMC OA."
S007,10.1038/s43588-026-00965-3,41813969,PMC13121014,De novo design of functional nucleic acids of aptamers,2026,Nature Computational Science,Zhang Z; Jiang M; He A; Zhu Y; Wang E; Wan L; Qiu J; Guo P; Chen G; Han D,primary,yes,html,E,core,,scout-E,InstructNA. Code github.com/zhimingzhang275/InstructNA CUDA/PyTorch. Protein targets LOX1/CXCL5 not glutamate.
S008,10.2116/analsci.24.167,18187867,,Arginine-modified DNA aptamers that show enantioselective recognition of the dicarboxylic acid moiety of glutamic acid,2008,Analytical Sciences,Ohsawa K; Kasamatsu T; Nagashima J; Hanawa K; Kuwahara M; Ozaki H; Sawai H,primary,yes,html,A,relevant,,scout-A,Modified DNA; SPR vs avidin-glutamate conjugates; authors conclude no aptamer to free glutamic acid.
S009,10.1093/nass/49.1.81,17150643,,Screening of a glutamic acid-binding aptamer from arginine-modified DNA library,2005,Nucleic Acids Symposium Series,Kuwahara M; Ohsawa K; Kasamatsu T; Shoji A; Sawai H; Ozaki H,primary,no,abstract-only,A,candidate,,scout-A,Short symposium note preceding Ohsawa 2008.
S010,10.1101/2025.11.05.686731,,,Ultrasensitive graphene FET aptasensor for direct attomolar detection of glutamate in human clinical samples,2025,bioRxiv,Abrantes M; Blanco Y; Giacomazzi RP; Moreira IP; Monteiro P; Borme J; Vieira-Coelho M; Sousa SF; Briones C; Jacinto L; Alpuim P,preprint,partial,html,A|B,relevant,,scout-A;scout-B,Preprint. Abstract claims 1 aM LOD in aCSF. ELONA millimolar Kd not in abstract; not entered.
S011,10.3390/bios12121142,36551109,PMC9776347,"Capture-SELEX: Selection Strategy, Aptamer Identification, and Biosensing Application",2022,Biosensors,Lam SY; Lau HL; Kwok CK,review,yes,pmc,A,relevant,,scout-A,Quotes 98-nt 1d04 sequence and Kd 12 +/- 6 uM citing Wu. Secondary source for sequence.
S012,10.1155/2012/415697,23326761,PMC3544269,Capture-SELEX: Selection of DNA Aptamers for Aminoglycoside Antibiotics,2012,Journal of Analytical Methods in Chemistry,Stoltenburg R; Nikolaus N; Strehlitz B,primary,no,abstract-only,A,candidate,,scout-A,Founding DNA Capture-SELEX; kanamycin not glutamate.
